,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
1282,1282,2602,15.0,8,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,6.0,,9.0,,4. P,4,2,7,15.0,15.0
1283,1283,2603,20.5,23,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,20.5,,,,,,,,,,,11.5,,9.0,,4. P,4,2,7,20.5,20.5
1284,1284,2604,15.5,14,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,15.5,,,,,,,,,,,7.5,8.0,,,4. P,4,2,7,15.5,15.5
1285,1285,2606,10.0,11,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,5.0,,5.0,,4. P,4,2,7,10.0,10.0
1286,1286,2608,39.0,45,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,12.0,17.5,7.5,2.0,4. P,4,2,7,39.0,39.0
1287,1287,2609,9.5,3,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,2.0,7.5,,4. P,4,2,7,9.5,9.5
1288,1288,2610,10.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,10.0,4. P,4,2,7,10.0,10.0
1289,1289,2612,10.0,12,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,5.0,2.0,3.0,,4. P,4,2,7,10.0,10.0
1290,1290,2613,19.5,29,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,19.5,,,,,,,,,,,13.5,,6.0,,4. P,4,2,7,19.5,19.5
1291,1291,2616,10.0,15,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,7.0,,3.0,,4. P,4,2,7,10.0,10.0
1292,1292,2617,144.0,98,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,64.5,,79.5,,4. P,4,2,7,144.0,144.0
1293,1293,2618,10.0,14,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,4.0,5.0,0.5,0.5,4. P,4,2,7,10.0,10.0
1294,1294,2619,134.5,77,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,134.5,,,,,,,,,,,37.5,75.0,22.0,,4. P,4,2,7,134.5,134.5
